n_samples,n_features,wall_s,cpu_s,ram_change_gib,peak_gpu_gib,gpu_info,iter
500,50,85.77035164833069,85.60999999999967,0.0,0.0396080017089843,"GPU 0: util=63.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
500,100,98.05623316764832,98.16999999999916,0.0,0.0442914962768554,"GPU 0: util=55.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
500,250,95.7657027244568,95.88000000000012,0.0,0.0591859817504882,"GPU 0: util=17.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
500,500,95.13530373573305,95.27000000000044,0.0,0.084634780883789,"GPU 0: util=61.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
500,750,110.40692210197447,110.59000000000016,5.7220458984375e-05,0.112098217010498,"GPU 0: util=52.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
500,1000,106.1755075454712,106.23999999999978,0.0,0.1415543556213379,"GPU 0: util=11.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,50,100.20447039604188,100.42000000000009,0.0,0.0469799041748046,"GPU 0: util=15.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,100,100.63148546218872,100.85000000000036,-0.0283279418945312,0.0529589653015136,"GPU 0: util=17.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,250,102.46638822555542,102.70000000000071,3.0517578125e-05,0.0708956718444824,"GPU 0: util=18.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,500,107.11967754364014,107.29999999999929,0.0004539489746093,0.1021833419799804,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,750,112.23989534378052,112.42999999999938,0.0092391967773437,0.1373968124389648,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
750,1000,97.63705587387084,98.3100000000004,0.071868896484375,0.1742453575134277,"GPU 0: util=31.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,50,92.61397743225098,93.31999999999972,0.019500732421875,0.0527544021606445,"GPU 0: util=14.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,100,122.31793522834778,123.1299999999992,0.0910072326660156,0.0606656074523925,"GPU 0: util=2.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,250,119.13068556785583,119.36000000000058,0.0285186767578125,0.0826430320739746,"GPU 0: util=18.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,500,129.97280597686768,130.21999999999937,0.027435302734375,0.1225218772888183,"GPU 0: util=20.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,750,134.73451280593872,135.0600000000004,0.0212059020996093,0.1627459526062011,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
1000,1000,137.62885999679563,137.97999999999865,0.0016632080078125,0.2021918296813964,"GPU 0: util=28.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
50,50,55.51693105697632,55.02000000000135,-0.0371818542480468,0.0362958908081054,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
50,100,55.616321086883545,55.1299999999992,0.0,0.0336313247680664,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
50,250,56.87943458557129,56.720000000000255,0.0,0.0446009635925293,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
50,500,63.87656569480896,63.69000000000051,0.0,0.0615572929382324,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
50,750,57.11767029762268,57.1299999999992,0.0045166015625,0.0803613662719726,"GPU 0: util=29.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
50,1000,58.470248222351074,58.48999999999978,0.0014190673828125,0.0960588455200195,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,50,64.09032988548279,63.56999999999971,0.0,0.0364394187927246,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,100,57.80614256858826,57.63999999999942,0.0,0.03373384475708,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,250,58.43615770339966,58.3100000000004,0.0,0.0448441505432128,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,500,59.52083873748779,59.53999999999997,0.0017051696777343,0.0620317459106445,"GPU 0: util=23.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,750,70.19709753990173,70.14999999999964,0.0,0.0810694694519043,"GPU 0: util=20.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
100,1000,65.17710137367249,65.21000000000004,0.00048828125,0.0970005989074707,"GPU 0: util=23.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,50,67.25122499465942,67.1299999999992,0.0,0.0364398956298828,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,100,74.19353246688843,74.03000000000065,0.0,0.0364303588867187,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,250,67.00663232803345,67.04999999999927,0.0,0.0480232238769531,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,500,68.28034615516663,68.26000000000022,0.0,0.0693707466125488,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,750,69.21338367462158,69.26000000000113,0.0037040710449218,0.0916018486022949,"GPU 0: util=27.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
250,1000,70.86297917366028,70.90000000000146,0.0058059692382812,0.1104373931884765,"GPU 0: util=27.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,50,83.27016997337341,83.07000000000062,-0.0158195495605468,0.0396080017089843,"GPU 0: util=18.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,100,88.63812232017517,88.73999999999978,0.0,0.0442914962768554,"GPU 0: util=18.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,250,90.54717493057252,90.71999999999936,0.0008201599121093,0.0591859817504882,"GPU 0: util=19.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,500,90.45617938041688,90.72000000000116,0.0030364990234375,0.084634780883789,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,750,87.5575180053711,87.71000000000095,0.0001564025878906,0.112098217010498,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
500,1000,90.0226559638977,90.17000000000098,0.0,0.1415543556213379,"GPU 0: util=28.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
750,50,96.74781394004822,96.9399999999996,-0.0189208984375,0.0469799041748046,"GPU 0: util=12.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
750,100,80.44696354866028,81.14999999999964,0.0,0.0529589653015136,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",3
